x,y,100.321,101.479,102.634
26.0457,35.6641,5913.08,5924.47,6012.17
26.0457,32.0536,4096.53,4128.69,4176.06
26.0457,28.4431,3473.19,3525.58,3542.4
26.0457,24.8325,5471.2945,5539.1855,5579.113
26.0457,21.222,6301.5002,6386.8378,6427.4318
26.0457,17.6115,7131.7059,7234.4901,7275.7506
26.0457,14.0009,7961.9116,8082.1424,8124.0694
26.0457,10.3904,8792.1173,8929.7947,8972.3882
26.0457,6.77986,9622.323,9777.447,9820.707
26.0457,3.16932,5050.19,5100.36,5122.84
26.0457,-0.44121,13426,13538.1,13579.1
26.0457,-4.05174,5297.08,5348.36,5340.62
26.0457,-7.66228,8953.31,8991.47,9043.29
26.0457,-11.2728,2843.42,2881.69,2879.95
26.0457,-14.8833,4996.19,5025.47,5074.95
22.4277,35.6641,3439.19,3480.58,3519.28
22.4277,32.0536,2747.53,2748.69,2762.28
22.4277,28.4431,3009.53,3015.58,3059.06
22.4277,24.8325,2573.08,2605.36,2613.84
22.4277,21.222,2806.53,2831.36,2875.17
22.4277,17.6115,4174.08,4198.58,4254.51
22.4277,14.0009,4075.64,4084.25,4157.06
22.4277,10.3904,7035.53,7048.8,7116.29
22.4277,6.77986,3160.86,3189.58,3208.62
22.4277,3.16932,3546.19,3540.25,3617.73
22.4277,-0.44121,2882.19,2924.47,2946.17
22.4277,-4.05174,2662.75,2715.14,2731.73
22.4277,-7.66228,3132.08,3122.69,3163.06
22.4277,-11.2728,2597.64,2612.69,2656.95
22.4277,-14.8833,2452.64,2469.91,2502.51
18.8096,35.6641,2555.75,2553.8,2582.73
18.8096,32.0536,2130.64,2134.14,2139.95
18.8096,28.4431,2636.97,2664.25,2680.73
18.8096,24.8325,3160.64,3201.58,3207.06
18.8096,21.222,4183.97,4233.58,4249.51
18.8096,17.6115,4897.97,4911.69,4962.29
18.8096,14.0009,3087.19,3108.69,3124.4
18.8096,10.3904,4528.75,4558.14,4595.73
18.8096,6.77986,2931.08,2936.25,2984.62
18.8096,3.16932,3158.19,3158.36,3207.17
18.8096,-0.44121,3280.86,3270.47,3302.62
18.8096,-4.05174,2313.86,2326.36,2373.51
18.8096,-7.66228,2791.86,2790.36,2828.95
18.8096,-11.2728,3497.64,3562.14,3581.84
18.8096,-14.8833,3332.86,3376.69,3358.51
15.1916,35.6641,2745.08,2769.02,2784.06
15.1916,32.0536,2501.53,2545.47,2561.4
15.1916,28.4431,2212.86,2227.58,2263.06
15.1916,24.8325,3130.31,3138.8,3180.51
15.1916,21.222,4266.97,4307.91,4352.17
15.1916,17.6115,4134.19,4161.8,4172.29
15.1916,14.0009,2477.86,2504.25,2507.51
15.1916,10.3904,3541.19,3580.47,3620.62
15.1916,6.77986,2695.31,2742.14,2754.84
15.1916,3.16932,3174.86,3225.47,3242.62
15.1916,-0.44121,2838.19,2881.91,2875.73
